modelo,feature,importancia_media,importancia_std
LightGBM,longitud,-0.000408513382351335,0.0009106700673641934
LightGBM,dist_hermelinda_km,-1.275549312114895e-05,0.00041007405598169884
LightGBM,dist_sanchez_carrion_km,-0.0015818985465495168,0.0002799615295644499
LightGBM,dist_parque_industrial_km,-0.001079885775319737,0.00036233580754814536
LightGBM,dist_cesar_vallejo_km,-0.0003947614102889722,0.000961619431977286
LightGBM,dist_hotspot_mas_cercano_km,-0.0002871575043318734,0.0014766668124640877
LightGBM,tipo_Estafa,0.0265579535537596,0.0002771569947760936
LightGBM,tipo_Extorsión,0.00021118544939024986,0.0001493306633517741
LightGBM,tipo_Hurto,0.22837511443661404,0.007493191920207691
LightGBM,tipo_Otros,0.30577981280627187,0.005742975572051431
LightGBM,tipo_Robo,-0.0004575881274177703,0.0005004306570858395
LightGBM,tipo_Secuestro,0.0,0.0
LightGBM,tipo_Violencia contra la mujer e integrantes,-0.00044125402469101055,0.0015423361485474108
Hibrido1_Stacking_MLP,hora_sin,0.007435876602151244,0.002485323832672068
Hibrido1_Stacking_MLP,hora_cos,0.013228984085236428,0.005271717805779847
Hibrido1_Stacking_MLP,dia_semana_sin,0.008930647671054412,0.001786462001604333
Hibrido1_Stacking_MLP,dia_semana_cos,0.0008629100761955814,0.00224987602877361
Hibrido1_Stacking_MLP,mes_sin,0.009130787438798693,0.004508386866956796
Hibrido1_Stacking_MLP,mes_cos,0.008716904573116987,0.0025370466503852624
Hibrido1_Stacking_MLP,es_fin_de_semana,0.008577068226208776,0.0028669024754112583
Hibrido1_Stacking_MLP,latitud,0.014889795797748665,0.0017324858585011746
Hibrido1_Stacking_MLP,longitud,0.008329606174491596,0.0010072008472063118
Hibrido1_Stacking_MLP,dist_hermelinda_km,0.014933391080165373,0.0007366069685864606
Hibrido1_Stacking_MLP,dist_sanchez_carrion_km,0.01473151189177524,0.0021688232073308862
Hibrido1_Stacking_MLP,dist_parque_industrial_km,0.03418565456871522,0.004766292956187704
Hibrido1_Stacking_MLP,dist_cesar_vallejo_km,0.02910376339000509,0.0024477913307078187
Hibrido1_Stacking_MLP,dist_hotspot_mas_cercano_km,0.00814134699961396,0.0006463053338216214
Hibrido1_Stacking_MLP,tipo_Estafa,0.024447610865330576,0.0005338185587775543
Hibrido1_Stacking_MLP,tipo_Extorsión,0.09069114907113689,0.00047958130223555036
Hibrido1_Stacking_MLP,tipo_Hurto,0.012765367597295074,0.0030650397997332977
Hibrido1_Stacking_MLP,tipo_Otros,0.28273923068114143,0.006991338894101442
Hibrido1_Stacking_MLP,tipo_Robo,0.11930726125625675,0.005127278073043843
Hibrido1_Stacking_MLP,tipo_Secuestro,0.0,0.0
Hibrido1_Stacking_MLP,tipo_Violencia contra la mujer e integrantes,0.22592530174005532,0.002889688571797094
Hibrido2_GA_MLP,hora_sin,7.320531418867719e-05,0.0021641491151464494
Hibrido2_GA_MLP,hora_cos,0.0018790252495929731,0.004014883920393253
Hibrido2_GA_MLP,dia_semana_sin,-0.0003027278930976725,0.0013915138435351602
Hibrido2_GA_MLP,dia_semana_cos,-0.002886795729061068,0.00142223430800134
Hibrido2_GA_MLP,mes_sin,-0.0031547652258659222,0.0014567404739516843
Hibrido2_GA_MLP,mes_cos,-0.0026507293584565974,0.0015896316782653087
Hibrido2_GA_MLP,es_fin_de_semana,-0.0039109291405412154,0.001055749000146333
Hibrido2_GA_MLP,latitud,-0.00427597008200394,0.0018850993455422978
Hibrido2_GA_MLP,longitud,-0.001757015826295098,0.002207597679403258
Hibrido2_GA_MLP,dist_hermelinda_km,-0.003910675803004082,0.0011928111368563518
Hibrido2_GA_MLP,dist_sanchez_carrion_km,-0.0034352251180478723,0.0004543589054787096
Hibrido2_GA_MLP,dist_parque_industrial_km,-0.0013750712223635035,0.002512612350543144
Hibrido2_GA_MLP,dist_cesar_vallejo_km,-0.005681112987836949,0.0015685643345055764
Hibrido2_GA_MLP,dist_hotspot_mas_cercano_km,0.002555346301613618,0.00306681855948082
Hibrido2_GA_MLP,tipo_Estafa,0.018132598970881004,0.002014427156009501
Hibrido2_GA_MLP,tipo_Extorsión,0.06621114583549596,0.0009377904835733088
Hibrido2_GA_MLP,tipo_Hurto,0.11737052953638046,0.003682861920266894
Hibrido2_GA_MLP,tipo_Otros,0.18911210092485106,0.006836989572386327
Hibrido2_GA_MLP,tipo_Robo,0.09974644496511516,0.0028313488138873807
Hibrido2_GA_MLP,tipo_Secuestro,-0.000570505314775982,0.0004073100406209978
Hibrido2_GA_MLP,tipo_Violencia contra la mujer e integrantes,0.15135688615305246,0.006610540702708347
